epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
   45,     1,           1.3631,          0.30135,          0.35393,          0.31271,          0.45581,          0.29388,          0.29954
   45,     2,          0.80995,          0.21581,          0.19805,          0.26354,          0.38573,          0.16444,          0.16524
   45,     3,          0.65048,          0.38098,         0.089832,          0.32771,          0.51251,         0.074589,          0.10979
   45,     4,          0.50623,          0.21873,         0.095833,          0.27924,          0.38833,         0.079571,         0.080628
   46,     1,          0.81713,          0.29283,          0.17477,          0.30479,          0.44933,          0.14511,          0.14571
   46,     2,          0.59682,           0.3333,         0.087841,          0.32016,          0.47937,         0.072935,         0.076799
   46,     3,          0.40022,          0.26983,         0.043465,          0.26932,          0.43131,         0.036093,         0.045422
   46,     4,          0.26794,          0.20052,         0.022476,          0.26784,          0.37181,         0.018661,         0.022122
   47,     1,          0.28103,          0.19848,         0.027515,          0.24864,          0.36992,         0.022842,          0.02953
   47,     2,          0.74479,          0.45059,         0.098068,           0.3505,          0.55737,          0.08143,         0.091181
   47,     3,          0.34112,           0.2125,         0.042873,          0.26219,          0.38276,         0.035597,         0.042669
   47,     4,          0.37616,          0.18037,         0.065262,          0.25259,          0.35264,         0.054192,         0.054229
   48,     1,          0.53832,          0.16228,          0.12535,          0.23748,          0.33449,          0.10408,          0.10654
   48,     2,          0.42455,          0.31242,         0.037376,          0.29788,          0.46411,         0.031034,         0.042958
   48,     3,          0.39007,          0.30154,          0.02951,          0.28084,          0.45595,         0.024506,         0.026506
   48,     4,          0.44555,           0.2095,         0.078682,          0.25666,          0.38005,         0.065327,         0.068013
   49,     1,          0.26878,          0.18484,         0.027981,          0.24241,          0.35699,         0.023232,         0.029137
   49,     2,          0.33669,          0.12441,         0.070759,          0.20306,          0.29288,         0.058754,         0.058876
   49,     3,          0.48943,          0.31598,         0.057816,          0.28465,          0.46675,         0.048004,         0.054492
   49,     4,          0.68113,          0.47319,         0.069313,           0.3477,          0.57117,         0.057552,          0.05798
   50,     1,          0.62185,           0.4542,         0.055885,          0.33063,          0.55959,         0.046402,         0.052101
   50,     2,          0.21948,          0.17233,         0.015717,          0.23601,           0.3447,         0.013048,         0.016819
   50,     3,          0.30331,          0.16801,         0.045101,          0.23213,          0.34034,         0.037447,         0.039272
   50,     4,          0.17419,          0.11381,         0.020126,          0.19732,          0.28012,         0.016712,         0.017192
   51,     1,          0.47729,          0.31035,         0.055645,          0.27612,          0.46257,         0.046206,         0.072775
   51,     2,          0.45732,          0.28388,         0.057812,          0.27323,           0.4424,            0.048,         0.051947
   51,     3,           0.3183,          0.14359,         0.058235,          0.21626,          0.31464,         0.048353,         0.052036
   51,     4,          0.24473,           0.1459,         0.032944,          0.21084,          0.31716,         0.027355,         0.029401
   52,     1,          0.38171,          0.14438,         0.079113,          0.21097,           0.3155,         0.065691,         0.067299
   52,     2,          0.37064,          0.23614,         0.044834,          0.24312,          0.40349,          0.03723,         0.039781
   52,     3,          0.16529,          0.10507,         0.020073,          0.17913,          0.26914,         0.016668,         0.020614
   52,     4,          0.76798,          0.37931,          0.12955,          0.28159,          0.51139,          0.10757,          0.13755
   53,     1,          0.20088,         0.071978,         0.042969,          0.14448,          0.22277,         0.035675,         0.042695
   53,     2,          0.35262,          0.21921,         0.044468,          0.23178,          0.38876,         0.036919,         0.038168
   53,     3,          0.28284,          0.19488,          0.02932,          0.22644,          0.36655,         0.024343,         0.028623
   53,     4,           0.5931,          0.32501,         0.089363,          0.29196,          0.47337,           0.0742,          0.08453
   54,     1,          0.38173,          0.17952,         0.067402,          0.21082,          0.35181,         0.055967,         0.059986
   54,     2,          0.41287,          0.18347,         0.076466,           0.2152,          0.35566,         0.063494,         0.067548
   54,     3,          0.24007,          0.16566,         0.024803,           0.2003,          0.33795,         0.020594,         0.024233
   54,     4,          0.32416,          0.15916,            0.055,          0.18799,          0.33126,          0.04567,         0.055123
   55,     1,          0.38742,           0.1482,         0.079739,          0.18609,          0.31965,          0.06621,         0.067712
   55,     2,          0.25016,          0.17526,         0.024967,          0.20345,          0.34761,         0.020733,         0.026708
   55,     3,          0.17753,          0.10735,         0.023392,          0.16433,          0.27205,         0.019424,         0.023657
   55,     4,          0.11765,         0.085077,         0.010857,          0.15947,          0.24219,        0.0090141,         0.011743
   56,     1,          0.20842,          0.11411,         0.031437,          0.17227,          0.28049,         0.026102,         0.030659
   56,     2,          0.18761,          0.10072,         0.028961,          0.16102,          0.26352,         0.024046,         0.026722
   56,     3,           1.0021,          0.29878,          0.23444,          0.26802,          0.45387,          0.19466,          0.24991
   56,     4,          0.14115,         0.061998,         0.026382,          0.14067,          0.20675,         0.021904,         0.021918
   57,     1,          0.86298,          0.29633,          0.18888,          0.26712,            0.452,          0.15684,          0.19691
   57,     2,          0.17325,          0.10638,         0.022289,          0.16511,          0.27082,         0.018507,         0.021925
   57,     3,          0.18004,         0.094386,         0.028553,           0.1576,           0.2551,         0.023708,         0.028529
   57,     4,          0.18806,         0.064141,         0.041306,          0.14367,          0.21029,         0.034294,         0.035281
   58,     1,          0.12331,         0.075272,         0.016014,          0.14925,          0.22781,         0.013294,         0.016491
