epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
   55,     1,           0.7517,          0.45591,         0.098597,          0.27501,          0.57552,          0.08404,          0.10241
   55,     2,          0.88805,          0.70816,         0.059963,          0.32426,          0.71728,         0.051113,         0.066999
   55,     3,          0.57578,          0.43821,         0.045856,          0.26104,          0.56424,         0.039083,         0.042499
   55,     4,           1.0541,          0.67547,          0.12622,          0.33462,          0.70053,          0.10759,          0.12368
   56,     1,           1.0544,          0.55702,          0.16579,          0.30558,          0.63615,          0.14131,          0.14675
   56,     2,          0.75725,          0.46242,         0.098278,           0.2704,          0.57962,         0.083767,          0.11514
   56,     3,          0.76279,          0.44627,          0.10551,          0.27177,          0.56941,         0.089931,          0.10942
   56,     4,           1.0416,          0.95515,         0.028816,          0.36998,          0.83302,         0.024559,         0.032575
   57,     1,          0.79605,          0.68105,         0.038332,          0.33909,          0.70342,         0.032673,         0.039109
   57,     2,          0.62811,          0.33886,         0.096416,          0.25053,          0.49618,         0.082182,         0.099862
   57,     3,           1.0461,          0.80695,         0.079706,          0.34457,          0.76568,         0.067938,         0.073893
   57,     4,          0.50453,         0.091868,          0.13755,          0.16116,          0.25835,          0.11724,          0.11848
   58,     1,          0.73109,          0.60511,         0.041992,          0.29447,          0.66304,         0.035791,         0.036891
   58,     2,          0.69665,          0.57273,         0.041307,          0.33333,          0.64506,          0.03521,         0.057212
   58,     3,          0.64061,          0.43117,         0.069813,           0.2389,          0.55969,         0.059505,           0.0741
   58,     4,          0.62067,          0.56808,         0.017529,          0.29692,          0.64243,         0.014942,         0.016772
   59,     1,          0.80181,          0.48684,          0.10499,          0.29838,          0.59473,         0.089487,          0.10717
   59,     2,          0.58111,          0.33661,         0.081499,          0.25536,          0.49452,         0.069468,         0.074561
   59,     3,          0.91695,          0.56675,          0.11673,          0.27761,          0.64168,         0.099497,          0.10811
   59,     4,           1.3515,           1.0183,          0.11106,          0.38186,          0.86013,         0.094658,         0.095214
   60,     1,          0.56005,          0.34555,         0.071503,          0.24406,          0.50104,         0.060947,         0.073146
   60,     2,          0.71399,            0.594,         0.039995,          0.31347,          0.65693,         0.034092,         0.039846
   60,     3,          0.76497,          0.53692,         0.076015,          0.26294,          0.62457,         0.064791,           0.0662
   60,     4,          0.84471,          0.61807,         0.075546,          0.34643,           0.6701,         0.064392,         0.071066
   61,     1,          0.77976,          0.53684,         0.080975,          0.27977,          0.62452,         0.069017,         0.078308
   61,     2,          0.83307,          0.67554,         0.052507,          0.32037,          0.70057,         0.044754,         0.054208
   61,     3,          0.54594,          0.41339,         0.044182,           0.2742,          0.54803,         0.037659,         0.047392
   61,     4,          0.28442,          0.11906,         0.055119,          0.18981,          0.29411,         0.046982,         0.059733
   62,     1,          0.48648,          0.40681,         0.026556,           0.2744,          0.54365,         0.022633,         0.024244
   62,     2,          0.76111,          0.59228,         0.056276,          0.28969,          0.65597,         0.047966,         0.056913
   62,     3,          0.79994,           0.6062,         0.064581,          0.30621,          0.66364,         0.055046,         0.060435
   62,     4,          0.41986,          0.12376,         0.098701,          0.18672,          0.29985,         0.084126,         0.088421
   63,     1,           1.2416,          0.80033,          0.14708,          0.36418,          0.76253,          0.12537,          0.12742
   63,     2,          0.51447,          0.26809,         0.082129,          0.24296,          0.44133,         0.070004,         0.077061
   63,     3,          0.34482,          0.27893,         0.021963,          0.20993,          0.45017,         0.018719,         0.020967
   63,     4,          0.74697,          0.48983,         0.085712,          0.25093,          0.59655,         0.073059,         0.079866
   64,     1,          0.62106,          0.52343,         0.032543,          0.29372,          0.61667,         0.027739,         0.037356
   64,     2,           0.5684,          0.19721,          0.12373,           0.2007,          0.37852,          0.10546,          0.13675
   64,     3,           0.7561,          0.45345,          0.10088,          0.27818,          0.57397,         0.085991,          0.12873
   64,     4,           1.2791,          0.89593,          0.12771,          0.36329,          0.80679,          0.10886,          0.11613
   65,     1,          0.80128,          0.42924,          0.12401,          0.28806,          0.55843,          0.10571,          0.12084
   65,     2,           1.2973,          0.53131,          0.25534,          0.27448,          0.62129,          0.21765,          0.22569
   65,     3,          0.88991,          0.47858,          0.13711,          0.28396,          0.58966,          0.11687,          0.12128
   65,     4,          0.35413,         0.065698,         0.096146,          0.13941,          0.21847,         0.081947,         0.082077
   66,     1,          0.89664,          0.39594,           0.1669,          0.25384,          0.53633,          0.14226,          0.14403
   66,     2,          0.69411,           0.5049,          0.06307,          0.30145,          0.60565,         0.053759,         0.056036
   66,     3,          0.44968,          0.25458,         0.065033,          0.21015,          0.43007,         0.055433,         0.063588
   66,     4,            1.024,          0.63499,          0.12967,          0.31571,          0.67921,          0.11053,          0.11962
   67,     1,          0.81329,          0.38025,          0.14435,          0.26276,           0.5256,          0.12304,          0.13508
   67,     2,           1.0345,          0.34814,           0.2288,          0.23078,          0.50292,          0.19502,          0.20257
   67,     3,           1.0511,          0.43016,          0.20697,          0.27295,          0.55903,          0.17641,          0.19882
   67,     4,           1.1891,          0.57602,          0.20437,          0.34394,           0.6469,           0.1742,          0.17424
   68,     1,          0.51858,          0.27338,         0.081734,          0.22366,          0.44566,         0.069666,         0.075884
   68,     2,          0.81433,          0.57907,         0.078421,          0.30833,          0.64862,         0.066843,          0.10107
   68,     3,          0.57117,          0.37818,         0.064331,          0.24978,          0.52417,         0.054831,         0.057373
   68,     4,          0.42247,            0.371,         0.017159,          0.25954,          0.51917,         0.014626,          0.01466
   69,     1,          0.60876,          0.35174,         0.085674,          0.26957,          0.50551,         0.073023,         0.081487
   69,     2,          0.59848,          0.41783,         0.060219,            0.239,          0.55096,         0.051329,         0.060744
   69,     3,          0.71873,          0.55363,         0.055031,           0.2927,          0.63421,         0.046907,         0.060223
   69,     4,          0.54321,          0.24945,         0.097919,          0.20784,          0.42571,         0.083458,         0.085804
   70,     1,           0.8491,          0.50399,          0.11503,          0.30307,          0.60511,         0.098051,          0.13948
   70,     2,          0.44703,          0.33687,         0.036718,          0.22115,          0.49472,         0.031296,         0.042317
   70,     3,           1.0327,          0.42319,          0.20316,          0.26637,          0.55449,          0.17316,           0.1925
   70,     4,           1.0115,          0.27717,          0.24477,            0.208,          0.44874,          0.20864,          0.20889
   71,     1,          0.70705,          0.20986,          0.16573,          0.20699,          0.39047,          0.14126,           0.1541
   71,     2,          0.57864,          0.45184,         0.042265,          0.27743,          0.57295,         0.036024,          0.04308
   71,     3,           1.1463,          0.52112,          0.20838,          0.27387,          0.61531,          0.17762,          0.19158
   71,     4,           1.4751,           0.4826,          0.33085,          0.27813,          0.59213,            0.282,          0.31837
   72,     1,           1.1977,          0.35806,          0.27989,          0.25392,          0.51004,          0.23857,          0.26299
   72,     2,          0.52875,          0.34838,         0.060122,          0.23738,           0.5031,         0.051245,         0.057603
   72,     3,           1.0135,          0.30647,          0.23567,          0.21836,          0.47186,          0.20087,          0.21104
   72,     4,           2.0183,          0.65255,          0.45525,          0.35174,          0.68854,          0.38803,          0.38821
