epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        89,  992.039,     0.01,          0.33602,         0.095134,          0.62142,        0.249,        0.519,       0.0902,         0.11,          0.52786,         0.099785,          0.82722,        0.294,        0.619,       0.0851,       0.0943
        90, 1002.802,     0.01,          0.36981,         0.058422,          0.54508,        0.247,        0.514,       0.0558,       0.0687,           0.5693,         0.081161,          0.81278,        0.301,        0.643,       0.0692,        0.077
        91, 1013.652,     0.01,          0.37877,          0.11968,          0.73781,        0.247,        0.512,       0.0943,        0.113,          0.48558,          0.22159,           1.1503,        0.282,        0.594,        0.189,        0.193
        92, 1024.381,     0.01,          0.32649,          0.18666,          0.88648,        0.243,        0.494,        0.162,        0.181,          0.55873,          0.19643,            1.148,        0.299,        0.637,        0.167,         0.17
        93, 1035.061,     0.01,          0.34873,           0.1234,          0.71893,        0.245,        0.508,        0.119,        0.139,          0.49096,          0.13457,          0.89467,        0.283,        0.597,        0.115,        0.121
        94, 1045.868,     0.01,          0.29267,          0.15516,          0.75814,        0.239,        0.488,        0.135,        0.154,          0.54365,          0.11461,          0.88749,        0.294,        0.628,       0.0977,        0.104
        95, 1056.549,     0.01,          0.35458,         0.099619,          0.65344,        0.244,        0.509,       0.0855,       0.0996,          0.49477,          0.19674,            1.085,        0.284,          0.6,        0.168,        0.172
        96, 1067.453,     0.01,          0.33417,          0.17152,          0.84872,        0.238,        0.489,        0.155,        0.165,          0.53232,         0.065784,          0.72968,        0.293,        0.622,       0.0561,       0.0688
        97, 1078.551,     0.01,          0.37206,          0.13893,          0.78886,        0.244,        0.511,        0.123,        0.136,          0.49848,         0.051395,          0.65266,        0.286,        0.602,       0.0438,        0.051
        98, 1089.663,     0.01,          0.30117,          0.20691,          0.92192,        0.233,        0.471,        0.168,        0.207,          0.45004,          0.11714,          0.80145,        0.278,        0.572,       0.0998,        0.112
        99, 1100.796,     0.01,          0.35177,          0.24529,           1.0876,        0.245,        0.497,        0.189,        0.211,          0.56133,          0.37989,            1.701,         0.31,        0.639,        0.324,        0.326
       100, 1112.083,     0.01,          0.38675,           0.2302,           1.0774,        0.247,        0.504,        0.217,        0.239,          0.49872,         0.094307,          0.78164,        0.287,        0.602,       0.0804,       0.0904
       101, 1123.424,     0.01,          0.34272,          0.11095,          0.67557,        0.242,        0.492,          0.1,        0.128,          0.56149,           0.0373,          0.67339,        0.298,        0.639,       0.0318,       0.0382
       102, 1134.710,     0.01,           0.3216,         0.044698,          0.45569,        0.246,        0.509,       0.0398,       0.0498,          0.55336,         0.092289,          0.83023,        0.295,        0.634,       0.0787,       0.0836
       103, 1145.745,     0.01,          0.31698,         0.058942,          0.49381,        0.246,        0.505,       0.0528,       0.0653,          0.54804,         0.035145,          0.65347,        0.295,        0.631,         0.03,       0.0342
       104, 1156.809,     0.01,          0.32108,         0.050973,            0.474,        0.243,        0.497,       0.0439,       0.0553,          0.53191,         0.042645,          0.65985,        0.292,        0.622,       0.0364,       0.0473
       105, 1167.985,     0.01,          0.30115,         0.048193,          0.44573,        0.242,        0.494,       0.0436,       0.0527,           0.4979,         0.088955,          0.76476,        0.285,        0.601,       0.0758,       0.0829
       106, 1179.089,     0.01,          0.33793,         0.068259,          0.54271,        0.239,        0.485,       0.0529,       0.0623,          0.52159,          0.05545,          0.68794,         0.29,        0.616,       0.0473,       0.0571
       107, 1190.108,     0.01,          0.30943,         0.097966,          0.60332,        0.237,         0.48,       0.0816,       0.0944,          0.44662,          0.20851,           1.0721,        0.274,         0.57,        0.178,        0.181
       108, 1201.430,     0.01,          0.29912,          0.12183,           0.6646,        0.228,        0.454,        0.117,        0.135,          0.48458,          0.16869,          0.99066,        0.286,        0.593,        0.144,        0.149
       109, 1212.766,     0.01,          0.30703,          0.27926,           1.1448,        0.234,        0.474,        0.239,        0.252,          0.44922,          0.10532,          0.76517,        0.279,        0.571,       0.0898,        0.101
       110, 1224.117,     0.01,          0.28335,          0.14516,          0.71882,        0.227,        0.445,        0.119,        0.132,          0.41438,          0.12537,          0.79048,        0.269,        0.549,        0.107,        0.116
       111, 1235.222,     0.01,          0.30842,          0.10508,          0.62366,        0.232,        0.466,       0.0901,        0.102,          0.47633,         0.039051,          0.59348,        0.282,        0.588,       0.0333,       0.0333
       112, 1246.273,     0.01,          0.27972,          0.12037,          0.64083,        0.232,        0.463,       0.0968,        0.112,          0.42169,          0.25246,           1.1791,        0.269,        0.554,        0.215,        0.218
       113, 1257.417,     0.01,          0.31144,          0.14601,          0.74947,        0.228,        0.449,        0.131,         0.15,          0.44837,         0.092453,          0.72573,        0.278,        0.571,       0.0788,       0.0877
